date,store_name,store_id,unique_visits,total_signals,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-01,Aldi,place_135,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Aldi,place_64,3,4,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1
2021-01-01,Aldi,place_72,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Aldi,place_79,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2021-01-01,Aldi,place_84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Aldi,place_85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Aldi,place_88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Burger King,place_39,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
2021-01-01,Burger King,place_40,3,6,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1
2021-01-01,Burger King,place_42,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Burger King,place_43,2,3,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1
2021-01-01,Burger King,place_45,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Burger King,place_50,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Kaufland,place_214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Kaufland,place_215,7,10,2,2,1,2,1,2,2,2,2,1,1,1,2,1,2,1
2021-01-01,Kaufland,place_216,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Kaufland,place_223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_14,2,3,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1
2021-01-01,McDonald's,place_17,3,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_18,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-01,McDonald's,place_2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
2021-01-01,McDonald's,place_20,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_21,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_25,2,14,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-01,McDonald's,place_26,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_28,3,4,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1
2021-01-01,McDonald's,place_29,3,5,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1
2021-01-01,McDonald's,place_3,3,25,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1
2021-01-01,McDonald's,place_31,3,7,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-01,McDonald's,place_32,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_4,4,8,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-01,McDonald's,place_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Mercedes,place_233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Mercedes,place_234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Renault,place_237,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Renault,place_238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_141,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_145,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_148,2,6,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1
2021-01-01,Rewe,place_161,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_167,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2021-01-01,Rewe,place_175,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_187,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_196,6,17,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1
2021-01-01,Rewe,place_198,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_205,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_206,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Sparkasse,place_246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_102,6,36,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1
2021-01-02,Aldi,place_103,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_106,3,3,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_107,5,22,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1
2021-01-02,Aldi,place_108,4,5,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1
