date,store_name,store_id,unique_visits,total_signals,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-01,Aldi,place_64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Burger King,place_42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Burger King,place_43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Burger King,place_50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_25,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-01,McDonald's,place_26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,McDonald's,place_31,2,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-01,Renault,place_238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_148,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-01,Rewe,place_196,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_102,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_114,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
2021-01-02,Aldi,place_119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_130,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_79,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_83,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_84,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Burger King,place_38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Kaufland,place_213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Kaufland,place_214,6,6,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,1
2021-01-02,Kaufland,place_215,3,5,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1
2021-01-02,Kaufland,place_216,4,6,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-02,Kaufland,place_217,3,3,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1
2021-01-02,Kaufland,place_218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Kaufland,place_219,4,5,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1
2021-01-02,Kaufland,place_220,4,4,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1
2021-01-02,Kaufland,place_221,4,4,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1
2021-01-02,Kaufland,place_223,4,4,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1
2021-01-02,Kaufland,place_224,7,8,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-02,Kaufland,place_225,2,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-02,Kaufland,place_226,3,4,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1
2021-01-02,Kaufland,place_227,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1
2021-01-02,McDonald's,place_13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Mercedes,place_234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_138,4,4,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1
2021-01-02,Rewe,place_139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_141,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_144,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_146,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_148,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_153,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2021-01-02,Rewe,place_154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_178,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_179,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_180,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1
2021-01-02,Rewe,place_182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_191,4,6,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
2021-01-02,Rewe,place_192,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_193,2,3,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1
2021-01-02,Rewe,place_195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_198,2,5,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1
2021-01-02,Rewe,place_199,3,4,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1
2021-01-02,Rewe,place_200,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_205,5,5,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-02,Rewe,place_207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Rewe,place_209,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2021-01-02,Rewe,place_210,2,6,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-03,Aldi,place_79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-03,Aldi,place_98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-03,Burger King,place_40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-03,Burger King,place_41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-03,McDonald's,place_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-03,Rewe,place_210,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_135,2,6,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1
2021-01-04,Aldi,place_54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_58,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2021-01-04,Aldi,place_62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_98,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Aldi,place_99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Burger King,place_35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Burger King,place_38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Kaufland,place_213,6,8,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1
2021-01-04,Kaufland,place_214,4,5,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
2021-01-04,Kaufland,place_215,10,11,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1
2021-01-04,Kaufland,place_216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Kaufland,place_217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Kaufland,place_218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Kaufland,place_219,3,3,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-04,Kaufland,place_220,5,7,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1
2021-01-04,Kaufland,place_221,2,3,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2
2021-01-04,Kaufland,place_223,4,6,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-04,Kaufland,place_224,3,3,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1
2021-01-04,Kaufland,place_225,3,6,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-04,Kaufland,place_226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Kaufland,place_227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Lexus,place_245,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-04,McDonald's,place_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,McDonald's,place_27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,McDonald's,place_28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,McDonald's,place_33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,McDonald's,place_4,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1
2021-01-04,McDonald's,place_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_138,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-04,Rewe,place_141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_159,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_160,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1
2021-01-04,Rewe,place_161,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_172,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_179,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
2021-01-04,Rewe,place_182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-04,Rewe,place_183,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-04,Rewe,place_187,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
