date,store_name,store_id,device_id,gps_location,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-01,McDonald's,place_25,6790,POINT (13.5471486 52.4318503),0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-01,McDonald's,place_29,13577,POINT (13.388066 52.519994),0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
2021-01-01,Rewe,place_141,8549,POINT (13.2439761 52.6149546),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-01,McDonald's,place_25,9288,POINT (13.54691 52.43191899999999),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-01,McDonald's,place_18,7144,POINT (13.59309 52.44798),0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2021-01-01,McDonald's,place_17,23806,POINT (13.6236079 52.5045062),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-01,Rewe,place_161,18223,POINT (13.50841 52.4506),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-01,Burger King,place_43,8753,POINT (13.2321998 52.52722610000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-01,McDonald's,place_26,21173,POINT (13.465008 52.436258),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_138,43550,POINT (13.544355 52.676908),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Aldi,place_135,49250,POINT (13.578505 52.566617),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-05,Kaufland,place_219,2156,POINT (13.3354 52.60341999999999),0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_135,49250,POINT (13.578318 52.566515),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-04,Kaufland,place_219,45912,POINT (13.33548 52.60347),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,McDonald's,place_28,7304,POINT (13.3862807 52.5203411),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,McDonald's,place_26,12246,POINT (13.46472 52.4362),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
